,precision,recall,f1-score,support
gratitude,0.9513677811550152,0.8892045454545454,0.9192364170337739,352.0
love,0.8143459915611815,0.8109243697478992,0.8126315789473684,238.0
amusement,0.8210116731517509,0.7992424242424242,0.8099808061420346,264.0
admiration,0.7064017660044151,0.6349206349206349,0.6687565308254964,504.0
neutral,0.7217771303714494,0.5545607162842753,0.6272151898734177,1787.0
optimism,1.0,0.005376344086021506,0.0106951871657754,186.0
confusion,0.0,0.0,0.0,153.0
curiosity,0.0,0.0,0.0,284.0
approval,0.0,0.0,0.0,351.0
caring,0.0,0.0,0.0,135.0
anger,0.0,0.0,0.0,198.0
annoyance,0.0,0.0,0.0,320.0
disgust,0.0,0.0,0.0,123.0
disapproval,0.0,0.0,0.0,267.0
disappointment,0.0,0.0,0.0,151.0
desire,0.0,0.0,0.0,83.0
fear,0.0,0.0,0.0,78.0
grief,0.0,0.0,0.0,6.0
excitement,0.0,0.0,0.0,103.0
embarrassment,0.0,0.0,0.0,37.0
nervousness,0.0,0.0,0.0,23.0
joy,0.0,0.0,0.0,161.0
realization,0.0,0.0,0.0,145.0
pride,0.0,0.0,0.0,16.0
relief,0.0,0.0,0.0,11.0
remorse,0.0,0.0,0.0,56.0
sadness,0.0,0.0,0.0,156.0
surprise,0.0,0.0,0.0,141.0
