,precision,recall,f1-score,support
gratitude,0.9454545454545454,0.8863636363636364,0.9149560117302052,352.0
amusement,0.8079710144927537,0.8446969696969697,0.825925925925926,264.0
love,0.8041666666666667,0.8109243697478992,0.8075313807531381,238.0
admiration,0.7259100642398287,0.6726190476190477,0.698249227600412,504.0
neutral,0.7527472527472527,0.5366536094012311,0.626592616791898,1787.0
joy,0.7446808510638298,0.43478260869565216,0.5490196078431373,161.0
optimism,0.7079646017699115,0.43010752688172044,0.5351170568561873,186.0
sadness,0.782608695652174,0.34615384615384615,0.48,156.0
surprise,0.6610169491525424,0.2765957446808511,0.39,141.0
approval,0.7079646017699115,0.22792022792022792,0.3448275862068966,351.0
curiosity,0.5714285714285714,0.2112676056338028,0.30848329048843187,284.0
anger,0.6440677966101694,0.1919191919191919,0.29571984435797666,198.0
disapproval,0.5925925925925926,0.1797752808988764,0.27586206896551724,267.0
confusion,0.75,0.09803921568627451,0.17341040462427745,153.0
remorse,0.5,0.05357142857142857,0.0967741935483871,56.0
fear,1.0,0.02564102564102564,0.05,78.0
desire,0.3333333333333333,0.012048192771084338,0.023255813953488372,83.0
disappointment,0.0,0.0,0.0,151.0
caring,0.0,0.0,0.0,135.0
annoyance,0.0,0.0,0.0,320.0
disgust,0.0,0.0,0.0,123.0
grief,0.0,0.0,0.0,6.0
excitement,0.0,0.0,0.0,103.0
embarrassment,0.0,0.0,0.0,37.0
nervousness,0.0,0.0,0.0,23.0
relief,0.0,0.0,0.0,11.0
pride,0.0,0.0,0.0,16.0
realization,0.0,0.0,0.0,145.0
